parameter_name,Mean corpuscular hemoglobin
mouse_life_stage,Early adult
pvalue,0.8691574
analysis_id,wj3346q9mgz4w70
gene_symbol,Trdmt1
gene_accession_id,MGI:1274787
parameter_id,IMPC_HEM_006_001
mouse_strain,C57BL
