parameter_id,UCD_OWT_003_001
parameter_name,Spleen weight
pvalue,0.4532596
gene_symbol,Lime1
gene_accession_id,MGI:1919949
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,wzhm64734uqi34x
