analysis_id,2uidlf384z0a83a
pvalue,0.8944304
mouse_strain,C57BL
gene_symbol,Bcs1l
parameter_name,Sodium
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_001_001
gene_accession_id,MGI:1914071
