gene_symbol,Dnaaf9
parameter_name,Follicular B cells - % of B2 cells
parameter_id,MGP_IMM_048_001
analysis_id,2l7661y2g1vq2b0
gene_accession_id,MGI:1923029
mouse_life_stage,Early adult
pvalue,0.2472652
mouse_strain,C57BL
