Parameter_name,eye size
Gene_accession_id,MGI:2441730
Mouse_life_stage,Early adult
Gene_symbol,Tbl1xr1
Parameter_id,ESLIM_001_001_117
mouse_strain,C57BL
Pvalue,0.6984625
analysis_id,uo1150v0e524llv
