analysis_id,8w0xt9t93nf83xi
mouse_strain,C57BL
gene_accession_id,MGI:2443129
gene_symbol,Golm2
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_047_001
parameter_name,DN CD44+CD62L+ NKT cells
pvalue,0.7808703
