analysis_id,xyu297yfhu786az
parameter_name,Contact righting
mouse_strain,C57BL
gene_symbol,Cd52
pvalue,0.7791393
gene_accession_id,MGI:1346088
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_077_001
