parameter_name,110dB startle magnitude
gene_symbol,Hspa5
mouse_strain,C57BL
gene_accession_id,MGI:95835
parameter_id,ESLIM_011_001_006
analysis_id,828s8e84e4m206d
mouse_life_stage,Early adult
pvalue,0.763736
