parameter_name,Total cholesterol
parameter_id,JAXLA_CBC_015_001
mouse_strain,C57BL
pvalue,0.8964355
gene_symbol,Snap23
gene_accession_id,MGI:109356
analysis_id,e085315606j4gb8
mouse_life_stage,Early adult
