parameter_name,Fat mass
parameter_id,IMPC_DXA_002_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Bpifa3
pvalue,0.415119
analysis_id,wf8g6w5u362648s
gene_accession_id,MGI:1920638
