gene_symbol,Arpc5l
pvalue,0.3548721
mouse_strain,C57BL
parameter_name,Latency to first transition into dark
analysis_id,90s51275yy6573v
parameter_id,IMPC_LDT_006_001
gene_accession_id,MGI:1921442
mouse_life_stage,Early adult
