parameter_name,Body length
mouse_life_stage,Early adult
gene_symbol,Dcaf12
pvalue,0.3005905
gene_accession_id,MGI:1916220
mouse_strain,C57BL
parameter_id,IMPC_DXA_006_001
analysis_id,d3eu5k3a1439988
