parameter_id,HRWLLA_DXA_007_001
mouse_strain,C57BL
gene_symbol,Slc17a9
analysis_id,al5lsc5na8k57f9
parameter_name,BMC/Body weight
gene_accession_id,MGI:1919107
pvalue,0.2833843
mouse_life_stage,Early adult
