gene_symbol,Rgs20
parameter_name,Total B cells - % of CD45+
mouse_strain,C57BL
analysis_id,4q496h0w21pyj3o
parameter_id,MGP_IMM_041_001
gene_accession_id,MGI:1929866
mouse_life_stage,Early adult
pvalue,0.1088139
