gene_symbol,AU040320
mouse_life_stage,Late adult
parameter_id,HRWLLA_GRS_010_001
mouse_strain,C57BL
gene_accession_id,MGI:2140475
parameter_name,Forelimb grip strength normalised against body weight
analysis_id,19mxe2v61q72w95
pvalue,0.9648172
