mouse_strain,129SV
mouse_life_stage,Early adult
parameter_name,Startle response
analysis_id,i47j642e82hf08p
pvalue,0.788379
parameter_id,IMPC_CSD_036_001
gene_symbol,Cds2
gene_accession_id,MGI:1332236
