gene_symbol,Ppp6c
mouse_strain,C57BL
analysis_id,q5x4053y080p395
gene_accession_id,MGI:1915107
pvalue,0.4321345
parameter_id,ESLIM_011_001_705
mouse_life_stage,Early adult
parameter_name,Global prepulse inhibition
