analysis_id,i0z9l96u2c2mgm2
mouse_life_stage,Late adult
gene_symbol,Slc30a4
mouse_strain,C57BL
parameter_name,B2B Cells
gene_accession_id,MGI:1345282
parameter_id,IMPC_IMM_065_001
pvalue,0.6793121
