gene_symbol,Trpa1
gene_accession_id,MGI:3522699
parameter_id,MGP_IMM_125_001
mouse_strain,C57BL
analysis_id,cf03w6zxwj87b37
parameter_name,Eosinophils - % of CD45+
pvalue,0.7957626
mouse_life_stage,Early adult
