analysis_id,x38905n74dono3d
gene_symbol,Npbwr1
pvalue,0.4185675
gene_accession_id,MGI:891989
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_strain,C57BL
parameter_id,MGP_MLN_021_001
mouse_life_stage,Early adult
