analysis_id,864bx3mb3c25cvc
gene_accession_id,MGI:2685277
parameter_name,Contact righting
mouse_strain,C57BL
pvalue,0.6250223
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_077_001
gene_symbol,Zyg11b
