parameter_id,HRWLLA_FEA_015_001
mouse_life_stage,Early adult
analysis_id,u952n7565go075q
gene_symbol,Ssr2
pvalue,0.7302663
gene_accession_id,MGI:1913506
mouse_strain,C57BL
parameter_name,Cue Baseline % Freezing Time
