mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1934811
analysis_id,j680n05637l0s3d
pvalue,0.8530158
parameter_id,ESLIM_007_001_015
gene_symbol,Nucks1
parameter_name,Number of centre entries
mouse_strain,C57BL
