gene_symbol,Lamb3
mouse_strain,C57BL
parameter_name,Facial Morphology
analysis_id,p81zp2m746buq4i
parameter_id,IMPC_GEP_017_001
gene_accession_id,MGI:99915
mouse_life_stage,Early adult
pvalue,0.189863
