analysis_id,1sjc379g3v347ou
gene_symbol,Steap3
parameter_id,HRWLLA_FEA_015_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1915678
pvalue,0.6520837
parameter_name,Cue Baseline % Freezing Time
