parameter_id,IMPC_DXA_002_001
gene_symbol,Sdcbp2
pvalue,0.6537102
gene_accession_id,MGI:2385156
mouse_strain,C57BL
analysis_id,v1i3lef6v5ye5o2
mouse_life_stage,Early adult
parameter_name,Fat mass
