analysis_id,k0sou652b6k68h0
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_006_001
pvalue,0.8077396
parameter_name,Pericardium Morphology
gene_accession_id,MGI:1919935
mouse_strain,C57BL
gene_symbol,Dnajc6
