analysis_id,dd3m6oz29qi12w0
parameter_name,Center average speed
gene_accession_id,MGI:1925049
gene_symbol,Sla2
parameter_id,IMPC_OFD_017_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.9028315
