analysis_id,6d316y8e2os9sz1
gene_accession_id,MGI:2443129
mouse_strain,C57BL
gene_symbol,Golm2
parameter_id,MGP_IMM_067_001
parameter_name,CD11b-low cDC - % of cDC
mouse_life_stage,Early adult
pvalue,0.3462208
