analysis_id,43ri8695s09t32d
gene_symbol,Cdin1
parameter_name,HDL-cholesterol
gene_accession_id,MGI:3026886
mouse_strain,C57BL
pvalue,0.608902
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_016_001
