parameter_name,Center resting time
gene_symbol,Cisd2
analysis_id,19lu7ghqe6imtkl
gene_accession_id,MGI:1914256
parameter_id,JAX_OFD_015_001
mouse_life_stage,Early adult
pvalue,0.8820887
mouse_strain,C57BL
