analysis_id,j6vq597k74f5766
pvalue,0.9958255
parameter_id,IMPC_HEM_036_001
parameter_name,Eosinophil cell count
gene_symbol,Lpgat1
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:2446186
