parameter_name,Snout morphology
mouse_life_stage,E9.5
parameter_id,MGP_CSD_066_001
analysis_id,5itv2l31ag2q88n
gene_symbol,Hspa5
gene_accession_id,MGI:95835
pvalue,0.7511369
mouse_strain,C57BL
