analysis_id,h0jevp051nofk58
mouse_strain,C52BL
gene_symbol,Tbl1xr1
parameter_name,Forelimb grip strength normalised against body weight
gene_accession_id,MGI:2441730
parameter_id,HRWLLA_GRS_010_001
mouse_life_stage,Early adult
pvalue,0.7560722
