parameter_name,Placenta Morphology
mouse_life_stage,Early adult
pvalue,0.6532539
analysis_id,vpyuots8hm1afr6
gene_symbol,Slc30a4
parameter_id,IMPC_GPO_002_001
gene_accession_id,MGI:1345282
mouse_strain,C57BL
