mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_name,Delayed embryonic development
pvalue,0.3234683
gene_accession_id,MGI:2140475
parameter_id,IMPC_GEL_063_001
analysis_id,s4s5o9y7vw3m7w6
gene_symbol,AU040320
