analysis_id,c61jj3e8111hd1q
mouse_life_stage,E9.5
gene_accession_id,MGI:97838
gene_symbol,Eprs1
mouse_strain,C57BL
pvalue,0.4416608
parameter_id,MGP_MLN_009_001
parameter_name,Effector Treg cells - % of Treg
