gene_symbol,Traf6
parameter_name,Total holepokes
mouse_life_stage,Early adult
gene_accession_id,MGI:108072
pvalue,0.05011518
mouse_strain,C57BL
analysis_id,3p7a6gv21h3k9h1
parameter_id,JAXLA_HBD_001_001
