parameter_id,IMPC_GEP_084_001
pvalue,0.5127353
parameter_name,Limb morphology
analysis_id,u8212b8bw8m7e51
gene_symbol,Kdm4c
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1924054
