analysis_id,ua7f1tx2p521423
pvalue,0.2665137
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Exd1
gene_accession_id,MGI:3045306
parameter_id,IMPC_XRY_021_001
parameter_name,Humerus
