analysis_id,76zca091zsjv229
gene_symbol,Zyg11b
mouse_strain,C57BL
gene_accession_id,MGI:2685277
parameter_id,IMPC_EYE_027_001
pvalue,0.6375706
parameter_name,Persistence of hyaloid vascular system
mouse_life_stage,E18.5
