gene_symbol,Psmd14
mouse_strain,C57BL
gene_accession_id,MGI:1913284
parameter_name,Facial Morphology
pvalue,0.5699018
analysis_id,6jg18361upiz20l
parameter_id,IMPC_GEP_017_001
mouse_life_stage,Early adult
