mouse_strain,B6J
parameter_name,CD11b-high cDC - % of CD45+
gene_symbol,Nr0b2
pvalue,0.9754731
analysis_id,i78404bz2601c8w
parameter_id,MGP_IMM_129_001
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
