parameter_name,Lens Opacity
gene_symbol,Nemp2
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,qnyqe6qr8c0r42b
pvalue,0.163496
parameter_id,UCDLA_EYE_017_001
gene_accession_id,MGI:2444113
