gene_symbol,Pex19
mouse_life_stage,E18.5
parameter_id,MGP_IMM_013_001
analysis_id,33v3jf8g38522p5
pvalue,0.6112789
parameter_name,Total CD8+ T cells - % of ab T cells
mouse_strain,C57BL
gene_accession_id,MGI:1334458
