parameter_id,MGP_CSD_066_001
gene_symbol,Arpc5l
parameter_name,Snout morphology
mouse_life_stage,Early adult
analysis_id,8db09i2y0xee199
gene_accession_id,MGI:1921442
mouse_strain,C57BL
pvalue,0.4157921
