analysis_id,hh5dl55057kjm9j
gene_accession_id,MGI:104848
parameter_name,Thoracic processes
pvalue,0.9821832
parameter_id,IMPC_XRY_064_001
mouse_life_stage,Early adult
mouse_strain,129SV
gene_symbol,Inpp1
