analysis_id,032ce3yde0h13k2
pvalue,0.5494379
mouse_strain,C57BL
parameter_name,B Cells
parameter_id,IMPC_IMM_063_001
gene_symbol,Bcs1l
mouse_life_stage,E9.5
gene_accession_id,MGI:1914071
