analysis_id,06qdl4c433cp62g
parameter_id,MGP_IMM_071_001
pvalue,0.2329144
mouse_life_stage,Early adult
gene_accession_id,MGI:1915524
parameter_name,Total CD4+ T cells - % of CD45+
gene_symbol,Toporsl
mouse_strain,C57BL
