parameter_name,Whole arena average speed
gene_symbol,Zmynd19
mouse_strain,C57BL
parameter_id,IMPC_OFD_009_001
pvalue,0.8910257
mouse_life_stage,Early adult
gene_accession_id,MGI:1914437
analysis_id,616rc85q39544j2
