analysis_id,44j8j7l589w0nc2
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
parameter_id,IMPC_GEL_027_001
mouse_strain,C57BL
pvalue,0.5786995
parameter_name,Neural tube closure
mouse_life_stage,Early adult
