gene_symbol,Arpc2
parameter_id,MGP_IMM_020_001
mouse_life_stage,Early adult
parameter_name,Effector gd T cells - % of gd T cells
analysis_id,z9495q81yg6bxyr
pvalue,0.520595
mouse_strain,129SV
gene_accession_id,MGI:1923959
