analysis_id,prfm81ej0qbr7q8
pvalue,0.522075
gene_symbol,Tatdn3
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
parameter_id,MGP_BMI_006_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1916222
mouse_strain,C57BL
