analysis_id,328w0s6f0nkl4a8
gene_accession_id,MGI:2673000
pvalue,0.832993
parameter_name,Prepulse inhibition - PP4
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,ESLIM_011_001_704
gene_symbol,Trim46
