parameter_id,IMPC_EYE_008_001
pvalue,0.6046588
gene_accession_id,MGI:2446274
mouse_strain,C57BL
gene_symbol,Frmpd1
analysis_id,y5k16f76860zkaf
parameter_name,Corneal opacity
mouse_life_stage,Late adult
