analysis_id,95970tii1417423
gene_accession_id,MGI:1922745
Mouse_strain,C57BL
Parameter_id,MGP_IMM_125_001
Parameter_name,Eosinophils - % of CD45+
gene_symbol,Morn5
pvalue,0.5803226
mouse_life_stage,Early adult
