parameter_id,HRWLLA_DXA_007_001
mouse_life_stage,Early adult
pvalue,0.6953699
parameter_name,BMC/Body weight
mouse_strain,C57BL
gene_symbol,Cmpk1
analysis_id,67bqq40w353f677
gene_accession_id,MGI:1913838
