analysis_id,uc1l674bye1ppx8
mouse_life_stage,Early adult
gene_accession_id,MGI:106100
parameter_id,IMPC_IMM_069_001
mouse_strain,C57BL
parameter_name,Transitional B Cells (CD21/35 low)
gene_symbol,Etfdh
pvalue,0.9655751
