parameter_name,Phosphorus
analysis_id,31x3p0n0vl9366h
pvalue,0.715708
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_010_001
gene_accession_id,MGI:1919935
mouse_strain,C57BL
gene_symbol,Dnajc6
