analysis_id,29s8vt9nb54kim0
gene_accession_id,MGI:2444777
gene_symbol,Ncaph
mouse_strain,C57BL
parameter_name,Tibia length
pvalue,0.0575743
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_033_001
