analysis_id,l77r8511bny5dux
parameter_id,IMPC_GEP_017_001
mouse_strain,129SV
gene_accession_id,MGI:1918025
gene_symbol,Zmynd8
parameter_name,Facial Morphology
pvalue,0.2216084
mouse_life_stage,Early adult
