analysis_id,r75igj2am1k6906
parameter_id,IMPC_GEP_084_001
mouse_strain,C57BL
pvalue,0.6420316
gene_symbol,Rgs20
parameter_name,Limb morphology
gene_accession_id,MGI:1929866
mouse_life_stage,Early adult
