parameter_name,Eosinophils
analysis_id,116j7c05h84w5y1
mouse_strain,C57BL
gene_accession_id,MGI:1916220
parameter_id,IMPC_IMM_052_001
gene_symbol,Dcaf12
mouse_life_stage,Early adult
pvalue,0.281285
