analysis_id,4iw62wshd607je2
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.8887697
parameter_name,Periphery distance travelled
parameter_id,HRWLLA_OFD_010_001
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
